"DAC","PI.Request.to.SO.Approval_Min","PI.Request.to.SO.Approval_Max","PI.Request.to.SO.Approval_Average","SO.Approval.to.DAC.Claim_Min","SO.Approval.to.DAC.Claim_Max","SO.Approval.to.DAC.Claim_Average","DAC.Claim.to.DAC.Approval_Min","DAC.Claim.to.DAC.Approval_Max","DAC.Claim.to.DAC.Approval_Average","DAC.Claim.to.DAC.Reject_Min","DAC.Claim.to.DAC.Reject_Max","DAC.Claim.to.DAC.Reject_Average","DAC.Claim.to.DAC.Revision_Min","DAC.Claim.to.DAC.Revision_Max","DAC.Claim.to.DAC.Revision_Average","Total.Time.for.DAC.Processing_Min","Total.Time.for.DAC.Processing_Max","Total.Time.for.DAC.Processing_Average","Date"
"NCI DAC",2,2,2,3.8,3.9,3.9,0,3.2,2.4,NA,NA,NA,NA,NA,NA,3.8,7,6.2,"01/01/2015"
"NHLBI",2,2,2,4,4,4,10,10,10,NA,NA,NA,NA,NA,NA,14,14,14,"01/01/2015"
"All DACs",2,2,2,3.8,4,3.9,0,10,6.2,NA,NA,NA,NA,NA,NA,3.8,14,10.1,"01/01/2015"
"NCI DAC",0,45.8,3.9,2.8,6.6,4,0,16.2,1.9,0,0,0,NA,NA,NA,2.8,20.1,5.8,"01/02/2015"
"NHGRI",0,2.7,1.1,2.7,3,2.9,0,0,0,NA,NA,NA,NA,NA,NA,2.7,3,2.9,"01/02/2015"
"NHLBI",0.9,0.9,0.9,3,3,3,10,10,10,NA,NA,NA,NA,NA,NA,13.1,13.1,13.1,"01/02/2015"
"NINDS",1,1.6,1.3,9.5,9.6,9.5,0,0,0,NA,NA,NA,NA,NA,NA,9.5,9.6,9.5,"01/02/2015"
"All DACs",0,45.8,2.2,2.7,9.6,4.4,0,16.2,1.8,0,0,0,NA,NA,NA,2.7,20.1,6.2,"01/02/2015"
"NCI DAC",1,1,1,1.9,1.9,1.9,0,0,0,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,"01/03/2015"
"NHLBI",1.5,1.5,1.5,2.1,2.1,2.1,21,21,21,NA,NA,NA,21,21,21,23.1,23.1,23.1,"01/03/2015"
"All DACs",1,1.5,1.5,1.9,2.1,2.1,0,21,19.6,NA,NA,NA,21,21,21,1.9,23.1,22.1,"01/03/2015"
"NEI",2.4,2.4,2.4,19.3,19.3,19.3,0,0,0,NA,NA,NA,NA,NA,NA,19.3,19.3,19.3,"01/04/2015"
"NHLBI",2.4,2.4,2.4,1.3,1.3,1.3,21,21,21,NA,NA,NA,NA,NA,NA,22.4,22.4,22.4,"01/04/2015"
"NIDDK",2.4,2.4,2.4,1.2,1.2,1.2,2,2,2,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,"01/04/2015"
"NINDS",2.4,2.4,2.4,7.8,7.8,7.8,0,0,0,NA,NA,NA,NA,NA,NA,7.8,7.8,7.8,"01/04/2015"
"All DACs",2.4,2.4,2.4,1.2,19.3,5.9,0,21,2.7,NA,NA,NA,NA,NA,NA,3.2,22.4,8.5,"01/04/2015"
"CDAC",3.8,13.6,8.7,0.1,0.2,0.1,3,3.7,3.3,NA,NA,NA,NA,NA,NA,3.1,3.8,3.5,"01/05/2015"
"ES DAC",6,6,6,23.2,23.2,23.2,0,0,0,NA,NA,NA,NA,NA,NA,23.2,23.2,23.2,"01/05/2015"
"JAAMH",1.8,24.1,4,2.1,17.1,3.4,18.6,35,20.3,90.8,90.8,90.8,19.7,19.7,19.7,20.8,93.1,32,"01/05/2015"
"NCI DAC",0,11,4.3,0,7.3,0.9,0,21.2,1.6,0,16,6.2,21.2,29.8,23.3,0.1,30.8,5.5,"01/05/2015"
"NEI",2.8,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/05/2015"
"NHGRI",0,13.6,9.2,0.1,1,0.4,0,0,0,NA,NA,NA,NA,NA,NA,0.1,1,0.4,"01/05/2015"
"NHLBI",0.2,3.8,1.8,0,9.8,7.9,10,10,10,0,10,0.7,NA,NA,NA,8.3,10.1,9.2,"01/05/2015"
"NIAMS",5,13.6,7.2,0.4,10.6,8,1.9,5.6,4.7,NA,NA,NA,NA,NA,NA,2.3,16.2,12.7,"01/05/2015"
"NIDDK",13.6,13.6,13.6,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,1,1,1,1.2,1.2,1.2,"01/05/2015"
"NINDS",0,13.6,4.6,6.3,6.7,6.5,0,1.8,0.4,NA,NA,NA,NA,NA,NA,6.4,8.2,6.9,"01/05/2015"
"All DACs",0,24.1,5,0,23.2,3,0,35,7.6,0,90.8,24.2,1,29.8,19.3,0.1,93.1,14.3,"01/05/2015"
"JAAMH",0,20,9.2,1.1,15.9,4.1,18.7,18.7,18.7,0,0,0,20.7,20.7,20.7,15.9,21.8,19.6,"01/06/2015"
"NCI DAC",0,21.1,15.7,0,5.9,0.5,0,1.9,0.7,0.1,1368,114.1,20.1,20.1,20.1,0.2,1368.1,76.8,"01/06/2015"
"NEI",0,0,0,16.8,16.8,16.8,0,0,0,NA,NA,NA,NA,NA,NA,16.8,16.8,16.8,"01/06/2015"
"NHGRI",0,21,8.9,0.6,5.9,2.8,0,3,0.3,3.3,3.3,3.3,NA,NA,NA,0.6,9.2,4.1,"01/06/2015"
"NHLBI",0,18.8,5.3,8.8,9.1,9,19.9,19.9,19.9,0,19.9,4,NA,NA,NA,8.9,29,19,"01/06/2015"
"NICHD",0,0,0,0.1,0.1,0.1,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,14.8,14.8,14.8,"01/06/2015"
"NIDCR",0,0,0,9.7,9.7,9.7,5.3,5.3,5.3,NA,NA,NA,NA,NA,NA,15,15,15,"01/06/2015"
"NIGMS",0,0,0,6.8,6.8,6.8,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,6.9,6.9,6.9,"01/06/2015"
"All DACs",0,21.1,9.6,0,16.8,4.1,0,19.9,7.8,0,1368,54.1,20.1,20.7,20.6,0.2,1368.1,31,"01/06/2015"
"ES DAC",19,19,19,21,21,21,30.1,30.1,30.1,NA,NA,NA,NA,NA,NA,51.1,51.1,51.1,"01/07/2015"
"JAAMH",0.7,20,6.2,0.2,0.3,0.3,18.7,18.7,18.7,NA,NA,NA,NA,NA,NA,18.9,19,19,"01/07/2015"
"NCI DAC",0,20,17.6,0,1,0.1,0,28.9,3.2,28.9,1344.1,905.7,28.9,28.9,28.9,0.1,1344.1,57.4,"01/07/2015"
"NHGRI",0.7,20,18.2,1,4.9,1.3,0,2,0.1,NA,NA,NA,NA,NA,NA,1,6.9,1.5,"01/07/2015"
"NHLBI",0.3,0.3,0.3,7.5,7.5,7.5,11.1,11.1,11.1,11.1,11.1,11.1,NA,NA,NA,18.6,18.6,18.6,"01/07/2015"
"NIAMS",43.4,43.4,43.4,8.6,8.6,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/07/2015"
"NICHD",6,6,6,1,1,1,13,13,13,NA,NA,NA,NA,NA,NA,13.9,13.9,13.9,"01/07/2015"
"NIDCR",20,20,20,8.8,8.8,8.8,12.3,12.3,12.3,NA,NA,NA,NA,NA,NA,21.1,21.1,21.1,"01/07/2015"
"NIGMS",19,20,19.3,5.8,5.9,5.9,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,6,6.1,6.1,"01/07/2015"
"NINDS",1,20,7.3,4.4,4.5,4.5,2.5,8.5,4.5,NA,NA,NA,NA,NA,NA,7,12.8,8.9,"01/07/2015"
"All DACs",0,43.4,14.7,0,21,2,0,30.1,4.8,11.1,1344.1,547.8,28.9,28.9,28.9,0.1,1344.1,32,"01/07/2015"
"JAAMH",0.2,29,4.9,3.9,4.5,4,13.8,13.8,13.8,NA,NA,NA,NA,NA,NA,17.7,18.2,17.9,"01/08/2015"
"NCI DAC",0.6,63.9,19.3,0.2,3.7,1,0,27.1,9.5,NA,NA,NA,NA,NA,NA,0.2,27.8,10.5,"01/08/2015"
"NHGRI",0.2,10,4.3,0.4,0.6,0.5,0,3.3,0.7,NA,NA,NA,NA,NA,NA,0.4,3.9,1.2,"01/08/2015"
"NHLBI",0,29,9.3,6.8,7,6.8,11.1,19.9,14.6,0,0,0,NA,NA,NA,6.8,26.7,15.4,"01/08/2015"
"NIDDK",0.9,0.9,0.9,3.8,3.8,3.8,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA,5,5,5,"01/08/2015"
"NINDS",1.3,1.3,1.3,3.2,3.2,3.2,0,0,0,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,"01/08/2015"
"All DACs",0,63.9,9,0.2,7,4.3,0,27.1,9.7,0,0,0,NA,NA,NA,0.2,27.8,12.1,"01/08/2015"
"JAAMH",0.6,5,1.2,3.3,3.3,3.3,13.8,29.9,17.2,NA,NA,NA,0.9,0.9,0.9,17,33.2,20.5,"01/09/2015"
"NCI DAC",0.2,0.8,0.6,0,2.8,0.9,0,3,2,NA,NA,NA,NA,NA,NA,2.9,3,3,"01/09/2015"
"NHGRI",0.1,5,1.7,2.6,3,2.9,0.3,3,1.2,NA,NA,NA,NA,NA,NA,3.2,5.6,4,"01/09/2015"
"NHLBI",0.8,6.6,3.3,6.1,6.2,6.2,11.1,29,22.4,NA,NA,NA,NA,NA,NA,17.2,35.2,28.5,"01/09/2015"
"NIAMS",5,5,5,7,7,7,12.3,12.3,12.3,NA,NA,NA,NA,NA,NA,19.2,19.2,19.2,"01/09/2015"
"NIDCR",0.8,0.8,0.8,7,7,7,12.3,12.3,12.3,NA,NA,NA,NA,NA,NA,19.2,19.2,19.2,"01/09/2015"
"NIDDK",0.1,0.1,0.1,2.8,2.8,2.8,1.2,1.2,1.2,NA,NA,NA,NA,NA,NA,3.9,3.9,3.9,"01/09/2015"
"NINDS",4.9,5,4.9,2.5,2.5,2.5,0,2.5,1.6,NA,NA,NA,NA,NA,NA,2.6,5,4.1,"01/09/2015"
"All DACs",0.1,6.6,2.5,0,7,4,0,29.9,12.5,NA,NA,NA,0.9,0.9,0.9,2.6,35.2,16.5,"01/09/2015"
"CDAC",87.2,87.2,87.2,2.6,2.6,2.6,9.9,9.9,9.9,NA,NA,NA,NA,NA,NA,12.5,12.5,12.5,"01/10/2015"
"NCI DAC",1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,NA,NA,NA,NA,NA,NA,4.5,4.5,4.5,"01/10/2015"
"All DACs",1.5,87.2,44.4,1.5,2.6,2,3,9.9,6.5,NA,NA,NA,NA,NA,NA,4.5,12.5,8.5,"01/10/2015"
"JAAMH",3.3,3.3,3.3,0.7,0.7,0.7,15.8,15.8,15.8,NA,NA,NA,NA,NA,NA,16.5,16.5,16.5,"01/11/2015"
"NCI DAC",6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/11/2015"
"NHLBI",5.5,5.5,5.5,4.2,4.2,4.2,42.8,42.8,42.8,0,0,0,NA,NA,NA,47,47,47,"01/11/2015"
"NINDS",14.1,14.1,14.1,0.1,0.1,0.1,1.8,1.8,1.8,NA,NA,NA,NA,NA,NA,1.8,1.8,1.8,"01/11/2015"
"All DACs",3.3,14.1,8.2,0.1,4.2,1.4,1.8,42.8,17.5,0,0,0,NA,NA,NA,1.8,47,18.9,"01/11/2015"
"CDAC",5.2,5.2,5.2,0.8,0.8,0.8,0,0,0,NA,NA,NA,NA,NA,NA,0.8,0.8,0.8,"01/12/2015"
"JAAMH",0.5,26.8,10.2,0.1,10.2,0.5,15.8,87.8,19,87.7,87.7,87.7,15.8,15.8,15.8,15.9,88.1,20.1,"01/12/2015"
"NCI DAC",0,41.9,6.3,0,4.1,0.5,0,23.8,1.9,NA,NA,NA,23.8,23.8,23.8,0.1,24,4.3,"01/12/2015"
"NHGRI",0,41.9,9.8,0,9.8,1,0,5,1.4,0,5.7,2.9,NA,NA,NA,0.1,9.8,2.5,"01/12/2015"
"NHLBI",3,26.8,16.2,2.8,3.2,2.9,11.1,19.9,13.4,0,0,0,NA,NA,NA,2.9,23,10.5,"01/12/2015"
"NIAMS",3,3,3,4,4,4,5.6,5.6,5.6,NA,NA,NA,NA,NA,NA,9.6,9.6,9.6,"01/12/2015"
"NICHD",5.1,26.8,12.3,0.8,0.9,0.8,8.2,8.2,8.2,NA,NA,NA,NA,NA,NA,9,9.1,9,"01/12/2015"
"NIDDK",6,26.8,26.1,1.1,1.1,1.1,0,1.3,1.3,NA,NA,NA,NA,NA,NA,1.1,2.4,2.4,"01/12/2015"
"NIGMS",0,0,0,0.7,0.7,0.7,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,"01/12/2015"
"NINDS",3,26.8,4.5,0.1,0.8,0.1,0,1.2,0.4,NA,NA,NA,NA,NA,NA,0.3,1.3,0.5,"01/12/2015"
"All DACs",0,41.9,12.4,0,10.2,1.2,0,87.8,9,0,87.7,3.9,15.8,23.8,17,0.1,88.1,10.1,"01/12/2015"
"JAAMH",0,7.8,3.1,0.1,0.6,0.4,14.9,14.9,14.9,NA,NA,NA,NA,NA,NA,15,15.5,15.3,"01/13/2015"
"NCI DAC",0,5.6,1.9,0,6.8,2.5,0,13.9,3.8,0,3.7,1.9,NA,NA,NA,0,13.9,5.7,"01/13/2015"
"NHGRI",0,6,2.7,3,3.1,3,0,5,3.8,NA,NA,NA,NA,NA,NA,3.1,8,6.8,"01/13/2015"
"NIGMS",0,0,0,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.3,0.3,0.3,"01/13/2015"
"NINDS",0.2,5,3.7,0.1,9.1,2.7,0,13.2,2.6,NA,NA,NA,NA,NA,NA,0.1,22.2,5.3,"01/13/2015"
"All DACs",0,7.8,2.9,0,9.1,1.5,0,14.9,9.1,0,3.7,1.9,0.2,0.2,0.2,0,22.2,10,"01/13/2015"
"JAAMH",0.7,7.1,3.6,0,5.7,2,14,22,17.2,NA,NA,NA,14,14,14,14,27.6,18.7,"01/14/2015"
"NCI DAC",0,22.2,4.8,0.5,5.6,2,1,1,1,0,5.7,1.7,NA,NA,NA,0.7,7.9,3.4,"01/14/2015"
"NEI",0.7,0.7,0.7,9.2,9.2,9.2,0,0,0,NA,NA,NA,NA,NA,NA,9.2,9.2,9.2,"01/14/2015"
"NHGRI",0.5,0.5,0.5,2.5,2.5,2.5,5,5,5,NA,NA,NA,NA,NA,NA,7.5,7.5,7.5,"01/14/2015"
"NHLBI",0.7,7,1.4,1,1.2,1.1,11.1,11.1,11.1,0,0,0,NA,NA,NA,1.1,12.3,11,"01/14/2015"
"NIDDK",6.8,6.8,6.8,0.8,0.8,0.8,1,1,1,NA,NA,NA,NA,NA,NA,1.9,1.9,1.9,"01/14/2015"
"All DACs",0,22.2,3.5,0,9.2,1.8,0,22,8.5,0,5.7,1.4,14,14,14,0.7,27.6,9.2,"01/14/2015"
"JAAMH",1,42.9,14.4,4.7,5.3,5,22,38.2,27.7,78.1,78.1,78.1,22,22.1,22,26.7,82.9,34.6,"01/15/2015"
"NCI DAC",0,27.8,5.3,0,1.5,0.9,0,21,8.5,0,0,0,NA,NA,NA,0.6,21,8.2,"01/15/2015"
"NHGRI",0,8.8,3.1,0.6,10.7,3.3,0,5,3.1,NA,NA,NA,NA,NA,NA,0.6,13,6.4,"01/15/2015"
"NHLBI",0,11,3.4,0.1,13.9,5.8,5.8,18.8,11,0,18.8,12.5,NA,NA,NA,0.5,32.7,17.1,"01/15/2015"
"NIDDK",1,1,1,4.9,4.9,4.9,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,5,5,5,"01/15/2015"
"All DACs",0,42.9,7.2,0,13.9,4.6,0,38.2,16,0,78.1,23.1,0.2,22.1,7.5,0.5,82.9,19.8,"01/15/2015"
"JAAMH",1,4.2,3.9,3.9,6.5,4.2,22,35,23.4,NA,NA,NA,NA,NA,NA,25.8,41.5,27.6,"01/16/2015"
"NCI DAC",0,23.8,5.6,0,9.6,2.3,0,5,2.5,NA,NA,NA,NA,NA,NA,0.1,9.6,4.8,"01/16/2015"
"NHGRI",0,50.5,21.2,0,3.7,1.1,0,5,0.7,NA,NA,NA,NA,NA,NA,0.1,5,1.9,"01/16/2015"
"NIDCR",1.2,1.2,1.2,4,4,4,8,8,8,NA,NA,NA,NA,NA,NA,12.1,12.1,12.1,"01/16/2015"
"All DACs",0,50.5,9.5,0,9.6,2.8,0,35,10.4,NA,NA,NA,NA,NA,NA,0.1,41.5,13.1,"01/16/2015"
"JAAMH",0.2,0.2,0.2,2.5,2.5,2.5,22,22,22,NA,NA,NA,NA,NA,NA,24.5,24.5,24.5,"01/17/2015"
"NHLBI",0.2,0.2,0.2,11.7,11.7,11.7,5.8,5.8,5.8,5.8,5.8,5.8,NA,NA,NA,17.5,17.5,17.5,"01/17/2015"
"All DACs",0.2,0.2,0.2,2.5,11.7,10.9,5.8,22,7.5,5.8,5.8,5.8,NA,NA,NA,17.5,24.5,18.1,"01/17/2015"
"NCI DAC",1.8,11.8,6.8,1.9,3.5,2.7,NA,NA,NA,30,30,30,NA,NA,NA,31.9,31.9,31.9,"01/18/2015"
"NHGRI",11.8,11.8,11.8,1.8,1.8,1.8,0,0,0,NA,NA,NA,NA,NA,NA,1.8,1.8,1.8,"01/18/2015"
"All DACs",1.8,11.8,8.5,1.8,3.5,2.4,0,0,0,30,30,30,NA,NA,NA,1.8,31.9,16.9,"01/18/2015"
"JAAMH",0,55,41.3,1.1,1.3,1.2,22,22,22,78.1,78.1,78.1,NA,NA,NA,23.1,79.3,27.8,"01/19/2015"
"NCI DAC",0,12,3.6,0.6,7.2,2.4,0,2.3,0.5,NA,NA,NA,NA,NA,NA,0.6,9.5,2.9,"01/19/2015"
"NHGRI",3.7,3.7,3.7,3,3,3,6.3,6.3,6.3,NA,NA,NA,NA,NA,NA,9.3,9.3,9.3,"01/19/2015"
"All DACs",0,55,28.8,0.6,7.2,1.6,0,22,14.7,78.1,78.1,78.1,NA,NA,NA,0.6,79.3,19.9,"01/19/2015"
"JAAMH",0,46.7,11.7,0,7.2,4,14.8,22,18.2,NA,NA,NA,14.7,28.8,22.3,21.6,35.5,23.3,"01/20/2015"
"NCI DAC",0,46.7,9.8,0,7.8,2.4,0,2.3,0.8,0,1330.4,665.2,15.1,15.1,15.1,0,1331.3,86.5,"01/20/2015"
"NHGRI",0,46.7,10,0,7.8,3.3,0,2.3,1,0,0,0,NA,NA,NA,0,8.2,4.3,"01/20/2015"
"NHLBI",0,82.7,21.5,8.9,15.1,10.8,14.9,14.9,14.9,0,5.8,3.5,NA,NA,NA,15,24.1,17.7,"01/20/2015"
"NICHD",8,8,8,1.1,1.1,1.1,NA,NA,NA,NA,NA,NA,11.8,11.8,11.8,13,13,13,"01/20/2015"
"NIDCR",17.8,17.8,17.8,0.2,0.2,0.2,NA,NA,NA,8,8,8,NA,NA,NA,8.2,8.2,8.2,"01/20/2015"
"NIDDK",0,0.1,0.1,0.7,1,0.9,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,1,1.2,1.1,"01/20/2015"
"NINDS",10.7,42,23,1.8,2.3,2.2,0,4.8,0.5,NA,NA,NA,NA,NA,NA,2.3,6.5,2.7,"01/20/2015"
"All DACs",0,82.7,13.8,0,15.1,5.3,0,22,8.2,0,1330.4,32.9,11.8,28.8,21.3,0,1331.3,20.3,"01/20/2015"
"JAAMH",6,39,9.8,1.1,6.2,5.1,14.8,35,19.3,NA,NA,NA,14.8,14.8,14.8,20.9,36.1,24,"01/21/2015"
"NCI DAC",0,14.1,4.6,0,11.4,2.9,0,16.2,8.3,0,1,0.3,NA,NA,NA,0,16.2,7.9,"01/21/2015"
"NHGRI",0,14.1,7,0.6,4.8,2.9,1,2.3,1.6,0.2,0.2,0.2,NA,NA,NA,1.6,6.9,4.2,"01/21/2015"
"NHLBI",0,13.8,5.8,8,8.5,8.1,5.8,14.9,11.9,5.8,5.8,5.8,NA,NA,NA,13.8,23.1,15.5,"01/21/2015"
"All DACs",0,39,6.4,0,11.4,4.7,0,35,10.4,0,5.8,3.1,14.8,14.8,14.8,0,36.1,12.4,"01/21/2015"
"NCI DAC",0,10,3.5,0.1,3.6,0.7,0,3.2,1.1,0,3.2,0.7,NA,NA,NA,0.1,5.9,1.7,"01/22/2015"
"NHGRI",0,0.8,0.2,0.6,3.5,1.6,0,0,0,0.1,0.1,0.1,NA,NA,NA,0.6,3.7,1.7,"01/22/2015"
"NHLBI",0.1,0.1,0.1,7.1,7.1,7.1,5.8,5.8,5.8,NA,NA,NA,NA,NA,NA,12.8,12.8,12.8,"01/22/2015"
"All DACs",0,10,2.3,0.1,7.1,1.5,0,5.8,1.6,0,3.2,0.6,NA,NA,NA,0.1,12.8,2.8,"01/22/2015"
"JAAMH",0,1.9,1.8,4.3,4.3,4.3,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,19.1,19.1,19.1,"01/23/2015"
"NCI DAC",0,4.2,1.1,0.2,3,1.9,0,28.1,11.7,NA,NA,NA,25.1,25.1,25.1,0.2,28.3,14.8,"01/23/2015"
"NHGRI",0,8.8,3.3,2.9,3.2,3,0,2.2,1,0.1,0.1,0.1,NA,NA,NA,3,5.2,3.9,"01/23/2015"
"NHLBI",0,2.3,0.9,5.7,6.5,6.1,5.7,14.9,13.6,NA,NA,NA,NA,NA,NA,11.9,21.4,19.7,"01/23/2015"
"NICHD",8.8,8.8,8.8,0,0,0,NA,NA,NA,NA,NA,NA,14,14,14,14.1,14.1,14.1,"01/23/2015"
"NIDDK",0.8,0.8,0.8,0.2,0.2,0.2,0,0,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,"01/23/2015"
"NINDS",1.9,1.9,1.9,3.2,3.2,3.2,0,0,0,NA,NA,NA,NA,NA,NA,3.2,3.2,3.2,"01/23/2015"
"All DACs",0,8.8,2,0,6.5,3.6,0,28.1,11.1,0.1,0.1,0.1,14,25.1,19.6,0.2,28.3,14.7,"01/23/2015"
"JAAMH",5.5,5.5,5.5,3.2,3.2,3.2,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,18,18,18,"01/24/2015"
"NHLBI",5.5,5.5,5.5,5.1,5.1,5.1,14.9,14.9,14.9,NA,NA,NA,NA,NA,NA,20,20,20,"01/24/2015"
"All DACs",5.5,5.5,5.5,3.2,5.1,4.5,14.8,14.9,14.8,NA,NA,NA,NA,NA,NA,18,20,19.3,"01/24/2015"
"JAAMH",1.8,15.6,2.8,2.2,2.2,2.2,14.8,14.8,14.8,NA,NA,NA,NA,NA,NA,17,17,17,"01/25/2015"
"NCI DAC",0,15.6,9.5,0.5,0.9,0.8,0,1.1,1,NA,NA,NA,NA,NA,NA,0.5,2,1.7,"01/25/2015"
"NHGRI",1.8,15.6,8.7,0.9,0.9,0.9,0,0,0,NA,NA,NA,NA,NA,NA,0.9,0.9,0.9,"01/25/2015"
"NHLBI",1.8,15.6,11,4.2,4.2,4.2,5.7,5.7,5.7,NA,NA,NA,NA,NA,NA,9.9,9.9,9.9,"01/25/2015"
"NIDCR",15.6,15.6,15.6,2.9,2.9,2.9,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,3.1,3.1,3.1,"01/25/2015"
"NIDDK",1.7,1.7,1.7,1.1,1.1,1.1,0,0,0,NA,NA,NA,NA,NA,NA,1.1,1.1,1.1,"01/25/2015"
"NINDS",1.8,1.8,1.8,1.2,1.2,1.2,0,0,0,NA,NA,NA,NA,NA,NA,1.2,1.2,1.2,"01/25/2015"
"All DACs",0,15.6,6.2,0.5,4.2,1.9,0,14.8,7.3,NA,NA,NA,NA,NA,NA,0.5,17,9,"01/25/2015"
"JAAMH",0,20.5,6.7,1.1,1.7,1.2,14.8,82.7,37.7,NA,NA,NA,14.8,14.8,14.8,15.9,83.8,37.8,"01/26/2015"
"NCI DAC",0.1,24.9,5.3,0,6.8,0.5,0,24,1.6,1.1,8,3.1,1.1,1.1,1.1,0,24,2.5,"01/26/2015"
"NHGRI",0.1,7.9,4.2,0,6.8,0.5,0,2.3,0.1,NA,NA,NA,NA,NA,NA,0,9.1,0.8,"01/26/2015"
"NHLBI",0,11.8,3,3,3.3,3.2,5.7,67.7,39,NA,NA,NA,NA,NA,NA,8.8,70.9,42.2,"01/26/2015"
"NIAMS",0.1,0.1,0.1,1.9,1.9,1.9,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,2.1,2.1,2.1,"01/26/2015"
"NICHD",7.9,7.9,7.9,1.2,1.2,1.2,NA,NA,NA,0,0,0,NA,NA,NA,1.2,1.2,1.2,"01/26/2015"
"NIDCR",2.7,2.7,2.7,2.2,2.2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/26/2015"
"NIGMS",7.9,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/26/2015"
"NINDS",0.9,18,12.3,0,0,0,0.8,11,4.2,NA,NA,NA,NA,NA,NA,0.9,11,4.3,"01/26/2015"
"All DACs",0,24.9,5.2,0,6.8,0.9,0,82.7,14.3,0,8,2.9,1.1,14.8,8,0,83.8,13.5,"01/26/2015"
"JAAMH",4.8,4.8,4.8,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,14.8,14.8,14.8,15,15,15,"01/27/2015"
"NCI DAC",0,5.9,1.4,0,5.9,2.5,0,3,1,0,0.8,0.4,NA,NA,NA,0.1,8.9,3.4,"01/27/2015"
"NHGRI",5.2,5.2,5.2,5.9,5.9,5.9,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,6,6,6,"01/27/2015"
"NHLBI",5.2,5.2,5.2,1.9,1.9,1.9,14.9,14.9,14.9,NA,NA,NA,NA,NA,NA,16.8,16.8,16.8,"01/27/2015"
"NINDS",0.2,5,1.8,5.7,6,5.8,0,0,0,0.1,0.1,0.1,NA,NA,NA,5.8,6,5.8,"01/27/2015"
"All DACs",0,5.9,2.7,0,6,2.7,0,14.9,2.6,0,0.8,0.2,14.8,14.8,14.8,0.1,16.8,7.5,"01/27/2015"
"JAAMH",1,1,1,1.7,1.7,1.7,24.9,32.8,30.1,NA,NA,NA,32.8,32.8,32.8,26.5,34.5,32.5,"01/28/2015"
"NCI DAC",0,6.9,1,0,4.8,0.6,0,3,0.6,0,0,0,NA,NA,NA,0.1,7.8,1,"01/28/2015"
"NHGRI",0,1.9,0.8,0.5,4.8,2.2,0,2.3,1,0,0,0,NA,NA,NA,0.5,7,2.9,"01/28/2015"
"NHLBI",0,25.7,6.3,0.7,7.1,2.7,5.7,14.9,8,0,0,0,NA,NA,NA,6.8,15.6,8.4,"01/28/2015"
"NIGMS",0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/28/2015"
"All DACs",0,25.7,1.5,0,7.1,1.5,0,32.8,5.3,0,0,0,32.8,32.8,32.8,0.1,34.5,5.7,"01/28/2015"
"JAAMH",0,28.8,11.2,1,1.2,1.1,32.8,32.8,32.8,68,68,68,32.8,32.8,32.8,33.8,69,41.7,"01/29/2015"
"NCI DAC",0,16,3,0,10.9,0.9,0,21.9,2.3,0,21.9,6.2,NA,NA,NA,0,22,3.5,"01/29/2015"
"NEI",5.7,5.7,5.7,22,22,22,28,28,28,NA,NA,NA,NA,NA,NA,50,50,50,"01/29/2015"
"NHGRI",0,15,4.6,0.9,10.9,2.2,0,2.4,0.6,0,0,0,NA,NA,NA,0.9,13.2,2.7,"01/29/2015"
"NHLBI",0,5.7,2.4,0.2,10.8,0.6,4.1,14.9,14.5,NA,NA,NA,NA,NA,NA,14.8,15.2,15.1,"01/29/2015"
"NIAMS",5.7,5.7,5.7,14.9,14.9,14.9,5.2,5.2,5.2,NA,NA,NA,NA,NA,NA,20.2,20.2,20.2,"01/29/2015"
